ZIP,County FIPS code,USPS Default State for ZIP,County,County State,State Abbreviation,ZIP Code Population,% of ZIP Residents in County,# of Counties,USPS Default City for ZIP
35004,1115,AL,St. Clair County,Alabama,AL,11558,1,1,Moody
35005,1073,AL,Jefferson County,Alabama,AL,8143,1,1,Adamsville
35006,1073,AL,Jefferson County,Alabama,AL,3599,0.928373383,3,Adger
35006,1127,AL,Walker County,Alabama,AL,3599,0.04805915,3,Adger
35006,1125,AL,Tuscaloosa County,Alabama,AL,3599,0.023567468,3,Adger
35007,1117,AL,Shelby County,Alabama,AL,27935,1,1,Alabaster
35010,1123,AL,Tallapoosa County,Alabama,AL,19619,0.83688658,3,Alexander City
35010,1037,AL,Coosa County,Alabama,AL,19619,0.114505,3,Alexander City
35010,1051,AL,Elmore County,Alabama,AL,19619,0.048608419,3,Alexander City
35011,1123,AL,Tallapoosa County,Alabama,AL,,1,1,Alexander City
35013,1009,AL,Blount County,Alabama,AL,122,0,1,Allgood
35014,1121,AL,Talladega County,Alabama,AL,3353,1,1,Alpine
35015,1073,AL,Jefferson County,Alabama,AL,,0,1,Alton
35016,1095,AL,Marshall County,Alabama,AL,17435,0.86050529,4,Arab
35016,1043,AL,Cullman County,Alabama,AL,17435,0.118764846,4,Arab
35016,1009,AL,Blount County,Alabama,AL,17435,0.019002375,4,Arab
35016,1103,AL,Morgan County,Alabama,AL,17435,0.001727489,4,Arab
35019,1043,AL,Cullman County,Alabama,AL,2497,0.826054217,2,Baileyton
35019,1103,AL,Morgan County,Alabama,AL,2497,0.173945783,2,Baileyton
35020,1073,AL,Jefferson County,Alabama,AL,25308,1,1,Bessemer
35021,1073,AL,Jefferson County,Alabama,AL,,1,1,Bessemer
35022,1073,AL,Jefferson County,Alabama,AL,23989,0.969981084,2,Bessemer
35022,1117,AL,Shelby County,Alabama,AL,23989,0.030018916,2,Bessemer
35023,1073,AL,Jefferson County,Alabama,AL,25221,1,1,Bessemer
35031,1009,AL,Blount County,Alabama,AL,7937,0.999529965,2,Blountsville
35031,1095,AL,Marshall County,Alabama,AL,7937,0.000470035,2,Blountsville
35032,1121,AL,Talladega County,Alabama,AL,78,0,1,Bon Air
35033,1043,AL,Cullman County,Alabama,AL,3237,0.929492345,2,Bremen
35033,1127,AL,Walker County,Alabama,AL,3237,0.070507655,2,Bremen
35034,1007,AL,Bibb County,Alabama,AL,5132,0.972684086,2,Brent
35034,1105,AL,Perry County,Alabama,AL,5132,0.027315914,2,Brent
35035,1007,AL,Bibb County,Alabama,AL,933,0.980066445,3,Brierfield
35035,1117,AL,Shelby County,Alabama,AL,933,0.017718715,3,Brierfield
35035,1021,AL,Chilton County,Alabama,AL,933,0.002214839,3,Brierfield
35036,1073,AL,Jefferson County,Alabama,AL,175,1,1,Brookside
35038,1127,AL,Walker County,Alabama,AL,,0,1,Burnwell
35040,1117,AL,Shelby County,Alabama,AL,18819,0.947398405,2,Calera
35040,1021,AL,Chilton County,Alabama,AL,18819,0.052601595,2,Calera
35042,1007,AL,Bibb County,Alabama,AL,5681,0.978135439,2,Centreville
35042,1105,AL,Perry County,Alabama,AL,5681,0.021864561,2,Centreville
35043,1117,AL,Shelby County,Alabama,AL,15068,1,1,Chelsea
35044,1121,AL,Talladega County,Alabama,AL,8225,1,1,Childersburg
35045,1021,AL,Chilton County,Alabama,AL,15078,1,1,Clanton
35046,1021,AL,Chilton County,Alabama,AL,5229,0.951782583,2,Clanton
35046,1037,AL,Coosa County,Alabama,AL,5229,0.048217417,2,Clanton
35048,1073,AL,Jefferson County,Alabama,AL,,1,1,Clay
35049,1009,AL,Blount County,Alabama,AL,4334,1,1,Cleveland
35051,1117,AL,Shelby County,Alabama,AL,10101,1,1,Columbiana
35052,1115,AL,St. Clair County,Alabama,AL,214,0,1,Cook Springs
35053,1043,AL,Cullman County,Alabama,AL,2890,0.843143394,2,Crane Hill
35053,1133,AL,Winston County,Alabama,AL,2890,0.156856606,2,Crane Hill
